frame,angle
0,329.806960356671
1,331.3109591594427
2,334.2952378054209
3,338.71273243763704
4,344.49377652685763
5,351.5471995543673
6,359.76176482551153
7,9.007923738820978
8,19.139858844845158
9,29.99778347443739
10,41.410461669979235
11,53.19790867872349
12,65.17422941986275
13,77.15055016100202
14,88.93799716974628
15,100.35067536528813
16,111.20859999488036
17,121.34053510090453
18,130.586694014214
19,138.80125928535827
20,145.85468231286794
21,151.63572640208852
22,156.05322103430467
23,159.03749968028293
24,160.5414984830546
25,160.5414984830546
26,159.03749968028293
27,156.05322103430467
28,151.63572640208852
29,145.85468231286794
30,138.80125928535827
31,130.586694014214
32,121.34053510090453
33,111.20859999488034
34,100.35067536528811
35,88.93799716974627
36,77.150550161002
37,65.17422941986274
38,53.19790867872348
39,41.41046166997921
40,29.99778347443737
41,19.13985884484513
42,9.007923738820942
43,359.7617648255115
44,351.54719955436724
45,344.4937765268576
46,338.712732437637
47,334.29523780542087
48,331.31095915944263
49,329.80696035667097
50,329.80696035667097
51,331.31095915944263
52,334.29523780542087
53,338.712732437637
54,344.4937765268576
55,351.54719955436724
56,359.76176482551153
57,9.007923738820978
58,19.139858844845154
59,29.997783474437387
60,41.41046166997923
61,53.19790867872349
62,65.17422941986275
63,77.15055016100202
64,88.93799716974628
65,100.35067536528813
66,111.20859999488036
67,121.34053510090453
68,130.586694014214
69,138.80125928535827
70,145.85468231286796
71,151.63572640208855
72,156.0532210343047
73,159.03749968028296
74,160.5414984830546
75,160.5414984830546
76,159.03749968028296
77,156.0532210343047
78,151.63572640208858
79,145.854682312868
80,138.80125928535833
81,130.58669401421406
82,121.3405351009046
83,111.20859999488043
84,100.3506753652882
85,88.93799716974635
86,77.15055016100209
87,65.17422941986283
88,53.197908678723564
89,41.4104616699793
90,29.997783474437455
91,19.13985884484522
92,9.007923738821042
93,359.7617648255116
94,351.5471995543673
95,344.49377652685763
96,338.71273243763704
97,334.2952378054209
98,331.31095915944263
99,329.80696035667097
100,329.80696035667097
101,331.31095915944263
102,334.29523780542087
103,338.712732437637
104,344.4937765268576
105,351.54719955436724
106,359.76176482551153
107,9.007923738820978
108,19.139858844845165
109,29.997783474437398
110,41.41046166997924
111,53.19790867872351
112,65.17422941986277
113,77.15055016100203
114,88.9379971697463
115,100.35067536528814
116,111.20859999488039
117,121.34053510090459
118,130.58669401421406
119,138.80125928535833
120,145.85468231286802
121,151.6357264020886
122,156.05322103430476
123,159.03749968028302
124,160.54149848305468
125,160.54149848305468
126,159.03749968028305
127,156.05322103430478
128,151.63572640208864
129,145.85468231286805
130,138.80125928535838
131,130.58669401421412
132,121.34053510090463
133,111.20859999488044
134,100.35067536528821
135,88.93799716974637
136,77.1505501610021
137,65.17422941986284
138,53.19790867872358
139,41.410461669979306
140,29.997783474437462
141,19.13985884484522
142,9.007923738821027
143,359.76176482551153
144,351.5471995543673
145,344.49377652685763
146,338.71273243763704
147,334.29523780542087
148,331.31095915944263
149,329.80696035667097
150,329.80696035667097
151,331.31095915944263
152,334.29523780542087
153,338.712732437637
154,344.4937765268576
155,351.54719955436724
156,359.7617648255115
157,9.007923738820978
158,19.139858844845165
159,29.997783474437398
160,41.41046166997924
161,53.19790867872351
162,65.17422941986277
163,77.15055016100203
164,88.9379971697463
165,100.35067536528814
166,111.20859999488039
167,121.34053510090459
168,130.5866940142141
169,138.80125928535836
170,145.85468231286805
171,151.63572640208866
172,156.0532210343048
173,159.03749968028308
174,160.54149848305474
175,160.54149848305474
176,159.0374996802831
177,156.05322103430487
178,151.63572640208872
179,145.85468231286814
180,138.80125928535847
181,130.58669401421423
182,121.34053510090475
183,111.20859999488056
184,100.35067536528832
185,88.93799716974648
186,77.15055016100222
187,65.17422941986295
188,53.19790867872369
189,41.41046166997942
190,29.997783474437572
191,19.139858844845328
192,9.007923738821132
193,359.76176482551165
194,351.54719955436735
195,344.4937765268577
196,338.7127324376371
197,334.2952378054209
198,331.3109591594427
199,329.806960356671
