snr_dB,tag,r2_csv_vs_psi12,pearson_csv_psi1,pearson_csv_psi2,pearson_inplane_psi1,pearson_inplane_psi2
0,min_bw0.005,0.5834562146458941,-0.31735987862244863,0.6931177490407107,0.01956825165850933,0.0746941340737183
0,min_bw0.01,0.5816470370988187,-0.31589180691334456,-0.6933418605663767,0.01957100521720283,-0.0747930832121074
0,min_bw0.025,0.5804195710363371,-0.3148108668651144,-0.6934455938256179,0.01958619863407783,-0.07484627782171474
0,min_bw0.05,0.579987700093139,-0.31441772327920664,-0.6934746740984459,0.019593529452354604,-0.07486305866882585
0,mean_bw0.005,0.49794325574190457,-0.22874983363424897,0.6594379958041136,0.02970890912360459,0.06676402767678155
0,mean_bw0.01,0.5090266419685034,0.24204427799064027,0.666784260497941,-0.027978254290452143,0.06643111383182371
0,mean_bw0.025,0.5187622896539099,0.25132621795956483,0.673232414592968,-0.026728016508544557,0.06561541723687334
0,mean_bw0.05,0.5218695890396318,-0.25460001898088275,-0.675192254844706,0.026277962262550917,-0.0650561756382989
0,bispectrum_bw6.0e-09,0.37912420327511,-0.1551648608720554,-0.5875031657398807,0.0379259848733981,-0.05895048083628367
0,bispectrum_bw1.5e-08,0.4193075998752095,0.16147220486622363,-0.6237713674175283,-0.037051447077054184,-0.06033550939016706
0,bispectrum_bw3.0e-08,0.4330530143554816,-0.16339300882952737,0.6358284303255498,0.036750322514818676,0.06077658449421731
0,bispectrum_bw6.0e-08,0.43991679708348175,-0.16430368414877145,-0.6417811728123924,0.036599474722491955,-0.06099084907181308
0,euclidean_random_angle_bw0.01,0.00450844195802913,0.06682103428819978,-0.006470187646361643,0.001323927732578219,0.05934080621764215
