snr_dB,tag,r2_csv_vs_psi12,pearson_csv_psi1,pearson_csv_psi2,pearson_inplane_psi1,pearson_inplane_psi2
0,min_bw0.005,0.5834562146458941,-0.31735987862244863,0.6931177490407107,0.01956825165850933,0.0746941340737183
0,min_bw0.01,0.5816470370988187,-0.31589180691334456,-0.6933418605663767,0.01957100521720283,-0.0747930832121074
0,min_bw0.025,0.5804195710363371,-0.3148108668651144,-0.6934455938256179,0.01958619863407783,-0.07484627782171474
0,min_bw0.05,0.579987700093139,-0.31441772327920664,-0.6934746740984459,0.019593529452354604,-0.07486305866882585
0,mean_bw0.005,0.49794325574190457,-0.22874983363424897,0.6594379958041136,0.02970890912360459,0.06676402767678155
0,mean_bw0.01,0.5090266419685034,0.24204427799064027,0.666784260497941,-0.027978254290452143,0.06643111383182371
0,mean_bw0.025,0.5187622896539099,0.25132621795956483,0.673232414592968,-0.026728016508544557,0.06561541723687334
0,mean_bw0.05,0.5218695890396318,-0.25460001898088275,-0.675192254844706,0.026277962262550917,-0.0650561756382989
0,bispectrum_bw6.0e-09,0.37912420327511,-0.1551648608720554,-0.5875031657398807,0.0379259848733981,-0.05895048083628367
0,bispectrum_bw1.5e-08,0.4193075998752095,0.16147220486622363,-0.6237713674175283,-0.037051447077054184,-0.06033550939016706
0,bispectrum_bw3.0e-08,0.4330530143554816,-0.16339300882952737,0.6358284303255498,0.036750322514818676,0.06077658449421731
0,bispectrum_bw6.0e-08,0.43991679708348175,-0.16430368414877145,-0.6417811728123924,0.036599474722491955,-0.06099084907181308
0,euclidean_random_angle_bw0.01,0.00450844195802913,0.06682103428819978,-0.006470187646361643,0.001323927732578219,0.05934080621764215
1,min_bw0.005,0.5837590328900406,-0.3214650195010889,0.6892499540606619,0.01929582446784093,0.07980162631573974
1,min_bw0.01,0.5814285144448241,-0.3187065612490769,-0.6908912084842644,0.019433881027748335,-0.07980785345336891
1,min_bw0.025,0.5798131136762064,-0.31675657175146765,-0.6917414066718628,0.019543096307110062,-0.07979970234485595
1,min_bw0.05,0.5792400773890982,-0.3160596088285068,-0.692001845535242,0.01958369352388475,-0.07979509550373781
1,mean_bw0.005,0.49559375744262146,-0.23030879740389334,0.6556497352101053,0.031209524390565724,0.0741457537633626
1,mean_bw0.01,0.498749565337704,-0.24292472401621207,-0.6581767934560079,0.02934877344790139,-0.07502089061192956
1,mean_bw0.025,0.49442207332427657,-0.251642038064605,-0.6546668755463364,0.027961749198227307,-0.07496010744612071
1,mean_bw0.05,0.4893429097438843,-0.2546878783109383,0.6505879607415272,0.02745516091370285,0.07458839679171214
1,bispectrum_bw6.0e-09,0.3786045047322527,-0.155180032653135,-0.5801936914753469,0.03994339047829779,-0.06580729307386075
1,bispectrum_bw1.5e-08,0.41864018420803795,0.16191085427816643,-0.621045483801274,-0.038997376479245,-0.06655708338107556
1,bispectrum_bw3.0e-08,0.4317386475617446,-0.16369225098263265,0.6337935240771556,0.038697930778153006,0.06682801387688596
1,bispectrum_bw6.0e-08,0.4381551241011189,-0.1644788736461143,-0.6399290878001712,0.03855266934713365,-0.06696754586737005
1,euclidean_random_angle_bw0.01,0.0018494772226257394,-0.000665238022843072,0.04300116548569895,0.006172953459540198,-0.006375479016878806
