frame,psi1,psi2,psi3,csv_gt_angle,inplane_angle_rad
0,-0.21503170136145958,-1.5905969987826598,-0.3148444775260162,65.174,0.5972999930381775
1,-0.16198149386031593,-1.4356599218362003,-0.30497452523011426,66.3723855255557,5.399799823760986
2,-0.14779636160899287,-1.4653181011600955,-0.45340368384951024,67.57058181214477,3.1321001052856445
3,-0.2098701572167294,-1.5302443456444386,-0.3239865144624859,68.76839965068365,2.317699909210205
4,-0.10797852846976606,-1.5145450077449987,-0.09348033971744553,69.96564989185009,6.278299808502197
5,-0.08788073824831227,-1.5443725988594057,-0.019467694536575094,71.16214347595204,2.6526999473571777
6,-0.03272577781399718,-1.531979563258884,-0.0005445678370481889,72.35769146278237,4.134300231933594
7,-0.12482519209017512,-1.536987077251897,0.03635640793642487,73.55210506145472,2.3225998878479004
8,-0.027022548530269374,-1.6138205575012488,0.21735458508607836,74.74519566021581,3.8647000789642334
9,-0.055124612775186564,-1.5480993107531342,0.042607876184685235,75.93677485622933,2.219599962234497
10,0.04474270501764743,-1.4874727915149075,0.3644097718084507,77.12665448532701,1.2000000476837158
11,0.0454190159662447,-1.5451738904870265,0.4201011791309809,78.31464665172189,0.6075000166893005
12,0.044605064827358556,-1.5481924466242247,0.387212600374797,79.50056375767925,5.600800037384033
13,0.08296287829008653,-1.5438349837810095,0.4161002436438626,80.68421853314047,1.0867999792099
14,0.18645697743039022,-1.5933167551479743,0.6105188233336988,81.86542406529516,0.35350000858306885
15,0.173733175785095,-1.5994771600013116,0.6339268448210389,83.0439938280968,4.42579984664917
16,0.19632736592118608,-1.4896717865251887,0.6915640622281246,84.21974171171746,6.245699882507324
17,0.19561937648440758,-1.5965718998707443,0.5593366544635456,85.39248205193658,3.8466999530792236
18,0.29056670084974234,-1.625105279590593,0.7474323113081855,86.56202965945964,5.737599849700928
19,0.2907260995037515,-1.5722730502452191,0.8395234376131636,87.72819984916156,1.6100000143051147
20,0.27030686732483833,-1.5443791613564386,0.923890652504351,88.89080846925071,5.309500217437744
21,0.32833028562772015,-1.5452568015731152,1.0754302833475966,90.04967193034861,4.5472002029418945
22,0.3065133764293658,-1.5459559569419303,0.7324680125421414,91.20460723448076,2.2932000160217285
23,0.37421198955922963,-1.466169333338297,1.030803002150325,92.35543200397422,1.8485000133514404
24,0.3674140285471038,-1.398759997139246,1.2248382385608072,93.5019645102571,0.9460999965667725
25,0.5107140263973525,-1.4263145712471597,1.2555843464140188,94.64402370255561,2.994999885559082
26,0.4957297528051504,-1.3716291362144337,1.3644876023351953,95.78142923648416,2.8680999279022217
27,0.44320494446441094,-1.4680058463462193,1.3943732554321833,96.91400150252367,1.6171000003814697
28,0.5312144616151763,-1.454603536050141,1.2987310771214025,98.04156165438417,1.593500018119812
29,0.6317012087030609,-1.2641279690033347,1.4503682544702574,99.16393163724659,5.687600135803223
30,0.5990075675128237,-1.2929081997300336,1.4459818317119586,100.28093421587968,4.448599815368652
31,0.6856489193419982,-1.1068834114468096,1.3833174877654426,101.39239300262761,0.08659999817609787
32,0.6254532459758055,-1.133512038932441,1.584360356250237,102.49813248526348,4.150599956512451
33,0.689389077447143,-1.099517676514133,1.6164142163922024,103.59797805470487,3.5527000427246094
34,0.7107692478835379,-1.126846579806155,1.5235526216678554,104.69175603258654,0.19689999520778656
35,0.7530834207939857,-1.0305450799284006,1.5448740547620472,105.7792936986863,4.252500057220459
36,0.7061138294459088,-1.0630104780343295,1.5122729347604782,106.86041931819952,6.2642998695373535
37,0.7239160452886882,-1.0115725375510938,1.6207031464876132,107.9349621688581,1.0484000444412231
38,0.7927903804846056,-0.8622906340357505,1.406271575258789,109.00275256788944,1.3007999658584595
39,0.81686625153379,-0.8915136988939703,1.4820292108110422,110.06362189881128,2.5627999305725098
40,0.9105183971391245,-0.805937869497615,1.6850684736058712,111.1174026380583,3.963399887084961
41,0.8982439843239113,-0.8191999069298702,1.3741637310951402,112.16392838143592,1.9259999990463257
42,0.8933457922775309,-0.7548499682490817,1.5156457077059982,113.2030338703976,2.883500099182129
43,0.9542703533067471,-0.6680520457525899,1.4489786248991714,114.23455501814092,0.9930999875068665
44,0.8843342326135416,-0.6458936766935331,1.5115563623297572,115.25832893551889,1.4735000133514404
45,0.9988632299074764,-0.7938474822972155,1.4173393215687078,116.27419395676199,1.5819000005722046
46,1.0094774309940049,-0.6272988178887556,1.5067275310598587,117.28198966500705,2.8761000633239746
47,1.0763149192988928,-0.6270987301573995,1.4507401442263423,118.28155691762903,0.39480000734329224
48,1.1240912450448457,-0.5386548561774473,1.4474799192424361,119.27273787137139,0.6990000009536743
49,1.0199027142447035,-0.41723102209309476,1.1041783377299896,120.25537600727141,4.777200222015381
50,1.0699693960031973,-0.4760257229969756,1.3087228757388976,121.2293161553763,4.546800136566162
51,1.107233953523605,-0.5109454022998572,1.2976388793978664,122.1944045192464,0.5480999946594238
52,1.0520813343587114,-0.3832597483329924,1.2831579770659585,123.15048870024145,3.380500078201294
53,1.0186144051584245,-0.32855201444359744,1.196092289594222,124.09741772158591,0.5407999753952026
54,1.1812118268165548,-0.25044190402426697,1.3071364121955502,125.03504205221024,4.097599983215332
55,1.2424710713343878,-0.2425138535413491,1.4250888078204733,125.9632136303633,2.2151999473571777
56,1.1270335670933844,-0.198285106181217,0.9868406959267987,126.8817858869932,4.4618000984191895
57,1.1289664696691006,-0.13708984233381577,1.1137776944944038,127.7906137688922,5.353300094604492
58,1.2040199157535107,-0.09726956752670653,1.059941917212489,128.6895537616023,1.9844000339508057
59,1.2070850976258614,-0.16794518077793386,0.9893250161761429,129.57846391207772,0.682699978351593
60,1.2446315705029602,-0.04521599776815121,0.8799476062261172,130.45720385110127,1.1146999597549438
61,1.1930057669022875,-0.011927183369456746,0.907464804884711,131.3256348154498,0.7240999937057495
62,1.2532828494727681,0.19531646761052834,0.6490987645553066,132.18361966980686,2.425299882888794
63,1.264556054300231,0.05511108208913587,1.031254358788515,133.03102292841794,0.9531999826431274
