frame,psi1,psi2,psi3,csv_gt_angle,inplane_angle_rad
0,-0.2348232398315415,1.4781800211169533,-0.3905591984703721,65.174,0.5972999930381775
1,-0.2145288150977821,1.4924304652743265,-0.337822163466455,66.3723855255557,5.399799823760986
2,-0.19280690732892983,1.5057330003986924,-0.28096831804164474,67.57058181214477,3.1321001052856445
3,-0.1687977894618695,1.5198566824906272,-0.21914353346244655,68.76839965068365,2.317699909210205
4,-0.14646014504226457,1.5338883772672331,-0.1634784099479133,69.96564989185009,6.278299808502197
5,-0.123965179916782,1.5433376524797295,-0.09763024286296436,71.16214347595204,2.6526999473571777
6,-0.09968821261434806,1.557236586097148,-0.03845988829074314,72.35769146278237,4.134300231933594
7,-0.07764387225060251,1.5677315643871386,0.020466276687039688,73.55210506145472,2.3225998878479004
8,-0.05064880177805718,1.5760966488442067,0.09748359841108126,74.74519566021581,3.8647000789642334
9,-0.027565132364592442,1.586661257780428,0.15418372324346505,75.93677485622933,2.219599962234497
10,-0.00271494687842132,1.5908841817855246,0.230276900989772,77.12665448532701,1.2000000476837158
11,0.024533053783045156,1.5964819178192131,0.30506667508981494,78.31464665172189,0.6075000166893005
12,0.04865173803285544,1.6018297730102982,0.37179699454630843,79.50056375767925,5.600800037384033
13,0.07581680431870626,1.603779572978645,0.44861305064913976,80.68421853314047,1.0867999792099
14,0.10243311689939247,1.6049212414041452,0.5231774710876139,81.86542406529516,0.35350000858306885
15,0.12795356367813315,1.6062673533917537,0.5913770719759309,83.0439938280968,4.42579984664917
16,0.15682204789593368,1.6012435675172612,0.6727498506826366,84.21974171171746,6.245699882507324
17,0.18367953532673065,1.594862513887527,0.7449890728080163,85.39248205193658,3.8466999530792236
18,0.21264397580167343,1.5897278237557804,0.8164703783899576,86.56202965945964,5.737599849700928
19,0.24180181847314408,1.5770984130647068,0.8917191826852382,87.72819984916156,1.6100000143051147
20,0.27088931398131727,1.566065238582745,0.9607792521294997,88.89080846925071,5.309500217437744
21,0.3004503279719696,1.5541110501667108,1.0243696125518456,90.04967193034861,4.5472002029418945
22,0.33125934676325114,1.5382825925458883,1.08775514015156,91.20460723448076,2.2932000160217285
23,0.3604541385111291,1.5154696157445926,1.148266013884188,92.35543200397422,1.8485000133514404
24,0.39269251066171956,1.4918755903508891,1.2091595690949446,93.5019645102571,0.9460999965667725
25,0.42171443529558333,1.4679732525571378,1.2555225952067437,94.64402370255561,2.994999885559082
26,0.45328086959953723,1.4382329211183165,1.3022481676933495,95.78142923648416,2.8680999279022217
27,0.48452815956403217,1.4059910783272214,1.3456077763826744,96.91400150252367,1.6171000003814697
28,0.5153697188570378,1.3719059786497643,1.3795397880216522,98.04156165438417,1.593500018119812
29,0.5449796238552832,1.3390744601817866,1.411517618430295,99.16393163724659,5.687600135803223
30,0.5774115316852843,1.3014532921445559,1.4400536736425036,100.28093421587968,4.448599815368652
31,0.6077499086423559,1.2616059186088586,1.463119546909606,101.39239300262761,0.08659999817609787
32,0.6371243779985072,1.221095672457865,1.4761441683201206,102.49813248526348,4.150599956512451
33,0.6671213403019962,1.1779903631128976,1.487593607716208,103.59797805470487,3.5527000427246094
34,0.6955849365058696,1.1348933795581113,1.4943975944213141,104.69175603258654,0.19689999520778656
35,0.7240725903392202,1.0925547772366495,1.4975307665757114,105.7792936986863,4.252500057220459
36,0.750707196977467,1.0510435190992387,1.4955285695877294,106.86041931819952,6.2642998695373535
37,0.7798166004996281,1.0070275840196383,1.492002924606641,107.9349621688581,1.0484000444412231
38,0.8045513310584231,0.9668315784595906,1.4833353840620112,109.00275256788944,1.3007999658584595
39,0.8325899437883112,0.9197367829382431,1.4709329342496078,110.06362189881128,2.5627999305725098
40,0.8554625222361035,0.8805119480877833,1.4595163965939282,111.1174026380583,3.963399887084961
41,0.8810328400621521,0.8398509735569997,1.4463734058786715,112.16392838143592,1.9259999990463257
42,0.9053000050595695,0.7973569614488725,1.429556896081319,113.2030338703976,2.883500099182129
43,0.9279103824974807,0.7568932995410014,1.41365090647072,114.23455501814092,0.9930999875068665
44,0.9495703206153366,0.7178412865054989,1.3943124013522918,115.25832893551889,1.4735000133514404
45,0.970761987298345,0.6778931279321757,1.376591501454922,116.27419395676199,1.5819000005722046
46,0.9903361732627063,0.6398885889987145,1.3528500048050573,117.28198966500705,2.8761000633239746
47,1.0108837838023692,0.6024533664429477,1.336648120189038,118.28155691762903,0.39480000734329224
48,1.0308931864720565,0.5608269784975664,1.3115263104402113,119.27273787137139,0.6990000009536743
49,1.0522969754441922,0.5203257439077197,1.2927424738819173,120.25537600727141,4.777200222015381
50,1.0679431723026969,0.4849645370833314,1.2660881800732042,121.2293161553763,4.546800136566162
51,1.0869784546030865,0.44316858739696147,1.240990810249214,122.1944045192464,0.5480999946594238
52,1.1024331202737838,0.40777993585999966,1.2160077824981728,123.15048870024145,3.380500078201294
53,1.1196515638662938,0.3669591863196171,1.1881600401888055,124.09741772158591,0.5407999753952026
54,1.136513510346477,0.3256079872760748,1.156376292499453,125.03504205221024,4.097599983215332
55,1.150638645103269,0.2897997337016473,1.1262618645255789,125.9632136303633,2.2151999473571777
56,1.166478618421561,0.24524600735067026,1.090453426486486,126.8817858869932,4.4618000984191895
57,1.178476046740522,0.20580245600676128,1.053340043322645,127.7906137688922,5.353300094604492
58,1.1901594171709624,0.16524610267325968,1.0161581757485931,128.6895537616023,1.9844000339508057
59,1.2051378043699168,0.12627107909770874,0.9780723895796273,129.57846391207772,0.682699978351593
60,1.2154152138137442,0.08364913664829354,0.9324873227290721,130.45720385110127,1.1146999597549438
61,1.227675197984572,0.042144686418776875,0.8900798649717823,131.3256348154498,0.7240999937057495
62,1.2380059958182423,0.0011904254870627048,0.8440958280755956,132.18361966980686,2.425299882888794
63,1.2478878222290533,-0.03584220797645652,0.7996466836565784,133.03102292841794,0.9531999826431274
64,1.2552308402276318,-0.07585580271420532,0.7500743575841428,133.867710776485,4.209700107574463
65,1.2655638352144856,-0.11969250756327783,0.6960448816735245,134.69355109129776,4.812300205230713
66,1.2726160168270622,-0.1574692713664778,0.6469808689291883,135.50841346309699,5.948500156402588
67,1.2798870529821789,-0.19574593469328747,0.5962424953393417,136.31216921566798,0.7810999751091003
68,1.2845798649418554,-0.23198015051206372,0.5447913012101258,137.10469142666,1.1633000373840332
69,1.2920163416924142,-0.2696848192434293,0.48978671684621017,137.88585494762876,2.390199899673462
70,1.2973080616006956,-0.30384006586649026,0.43543928273416044,138.6555364237987,1.0654000043869019
71,1.301090983834247,-0.3463737831542076,0.37267109210562965,139.41361431354233,0.3028999865055084
72,1.307352440442958,-0.38257269662341875,0.3123451195427227,140.15996890757293,3.0095999240875244
73,1.3111171643414077,-0.4131516646657438,0.26073788676315607,140.8944823478481,2.8236000537872314
74,1.3142735157999557,-0.4512491574201399,0.19784215339300296,141.6170386461809,5.540500164031982
75,1.3175115502084709,-0.48497285080350183,0.14041772914861153,142.32752370255562,6.249300003051758
76,1.3199437173728545,-0.5165451336496429,0.08146002528151941,143.02582532314568,4.612100124359131
77,1.3224506048445148,-0.5507410726703224,0.017959700378074584,143.71183323803024,3.9823999404907227
78,1.3234252806166042,-0.5821321535433307,-0.04157677621255157,144.38543911860705,3.861999988555908
79,1.326880101669175,-0.6137197676449623,-0.10393897295040251,145.04653659469895,5.635499954223633
80,1.326230460898791,-0.6390129047113496,-0.15403547015345723,145.6950212713507,1.5317000150680542
81,1.3283478233497907,-0.6697779197643814,-0.21789254231283992,146.3307907453144,2.9337000846862793
82,1.328635130321555,-0.6959049485413387,-0.2707963446182809,146.95374462122004,2.065000057220459
83,1.3279172003735564,-0.7239795775244093,-0.3294041159362455,147.56378452742916,1.1871999502182007
84,1.328374014347038,-0.7505048784967165,-0.38563120427033964,148.16081413156866,1.024399995803833
85,1.328727828246264,-0.7756096269274617,-0.44115852485019985,148.74473915574316,5.777500152587891
86,1.328380366395931,-0.8017008768097879,-0.4987786228842311,149.3154673914222,2.882200002670288
87,1.3277187669543027,-0.8246210345043615,-0.5497437505853419,149.8729087140013,4.368800163269043
88,1.3263038292467277,-0.8480500283931437,-0.6024506682644558,150.41697509703357,3.9869000911712646
89,1.3257546198020653,-0.8711070006378675,-0.6542569260617797,150.9475806261301,5.089600086212158
90,1.3262140805200653,-0.8893402817162205,-0.6966778736234039,151.4646415125269,0.7936999797821045
91,1.322399625692315,-0.908610696015833,-0.7395984567354673,151.968076106316,3.6273999214172363
