frame,psi1,psi2,psi3,csv_gt_angle,inplane_angle_rad
0,-0.3602850629093394,1.6179870635714353,-1.1487318521435246,65.174,0.5972999930381775
1,-0.339298656484987,1.631203940455056,-0.9736993219638451,66.3723855255557,5.399799823760986
2,-0.31642949100888845,1.6462283557007282,-0.7783997634677003,67.57058181214477,3.1321001052856445
3,-0.28945434105417983,1.667155433024882,-0.5699870127235039,68.76839965068365,2.317699909210205
4,-0.26375334767847625,1.6868679297513465,-0.3655082877152103,69.96564989185009,6.278299808502197
5,-0.2372816455611837,1.706064768990968,-0.1761118388707185,71.16214347595204,2.6526999473571777
6,-0.20747014929344562,1.7288133321981087,0.023005699765568113,72.35769146278237,4.134300231933594
7,-0.17962676723617677,1.7476221450653804,0.20323206233660757,73.55210506145472,2.3225998878479004
8,-0.1440413469314174,1.7708614564339407,0.38174971642956274,74.74519566021581,3.8647000789642334
9,-0.11381921707100791,1.7882439695864816,0.5223510195791552,75.93677485622933,2.219599962234497
10,-0.08075947191603083,1.8035324481542678,0.6474584992301596,77.12665448532701,1.2000000476837158
11,-0.043635802645360565,1.8204958162802645,0.7551432856301946,78.31464665172189,0.6075000166893005
12,-0.00971657472326366,1.8285823319354726,0.8319838792270098,79.50056375767925,5.600800037384033
13,0.02782156447638527,1.8368321257745246,0.8950324812032894,80.68421853314047,1.0867999792099
14,0.06481760078333892,1.8380258249333201,0.9300971680638744,81.86542406529516,0.35350000858306885
15,0.10039642975603319,1.8344617404926684,0.9358754462393235,83.0439938280968,4.42579984664917
16,0.13979725026949155,1.8253559816235385,0.9328573762994519,84.21974171171746,6.245699882507324
17,0.174479455645531,1.8096726385691428,0.9079369592222039,85.39248205193658,3.8466999530792236
18,0.21260126938331445,1.7899941635193661,0.869699698485895,86.56202965945964,5.737599849700928
19,0.2491194915922149,1.7622181434788151,0.8250621662906769,87.72819984916156,1.6100000143051147
20,0.28501291465940354,1.7300659726839307,0.783812644194944,88.89080846925071,5.309500217437744
21,0.31994312856795476,1.6930507327361852,0.7385107283915812,90.04967193034861,4.5472002029418945
22,0.35498540269161244,1.650142820206799,0.697680528555544,91.20460723448076,2.2932000160217285
23,0.386026910840611,1.604621460922117,0.6776995227534103,92.35543200397422,1.8485000133514404
24,0.4189788536604933,1.5563295287164993,0.6758792702227648,93.5019645102571,0.9460999965667725
25,0.44704481494519516,1.508700919971613,0.6784577017535599,94.64402370255561,2.994999885559082
26,0.4760581839600921,1.4559193865543707,0.7135182969395399,95.78142923648416,2.8680999279022217
27,0.503458316142101,1.4041581046673695,0.7574472766480037,96.91400150252367,1.6171000003814697
28,0.5290241284418902,1.3533090750067782,0.8232921257991751,98.04156165438417,1.593500018119812
29,0.5531437100432934,1.307991461269044,0.9155471827084798,99.16393163724659,5.687600135803223
30,0.5782990202287399,1.2572386763877783,1.0350185804240888,100.28093421587968,4.448599815368652
31,0.6019909081770908,1.2097681848587671,1.1560148542619768,101.39239300262761,0.08659999817609787
32,0.6234423471008548,1.166955499905995,1.2915696727389068,102.49813248526348,4.150599956512451
33,0.6450591260596128,1.1232202497118737,1.4352770537603299,103.59797805470487,3.5527000427246094
34,0.6657634973125182,1.0827565258397536,1.5747176264416003,104.69175603258654,0.19689999520778656
