frame,psi1,psi2,psi3,csv_gt_angle,inplane_angle_rad
0,-0.5810133713385716,-1.1852196796151022,1.0483830306355542,65.174,0.5972999930381775
1,-0.5408638929588577,-1.141487508265742,0.9201595031787874,66.3723855255557,5.399799823760986
2,-0.48725071308761425,-1.1843033744474352,1.0716255841025495,67.57058181214477,3.1321001052856445
3,-0.5604129212071532,-1.2133095074953357,1.1340748251582335,68.76839965068365,2.317699909210205
4,-0.5051144350558222,-1.3008242387856161,0.8860223907611057,69.96564989185009,6.278299808502197
5,-0.46211787933316045,-1.313149442422398,0.8553814003606057,71.16214347595204,2.6526999473571777
6,-0.4594669351961187,-1.3212984849812415,0.865319200635202,72.35769146278237,4.134300231933594
7,-0.46987368942363694,-1.365175004217795,0.7337512722477626,73.55210506145472,2.3225998878479004
8,-0.45825326465762384,-1.388614344581149,0.5808234529784567,74.74519566021581,3.8647000789642334
9,-0.44435399396153025,-1.4511410009068022,0.74550772250043,75.93677485622933,2.219599962234497
10,-0.3871815579366738,-1.3052869432766363,0.39810596489328626,77.12665448532701,1.2000000476837158
11,-0.3903306435414558,-1.4308218173146436,0.45423514546746135,78.31464665172189,0.6075000166893005
12,-0.38352929014929055,-1.431220639093215,0.5495234367554728,79.50056375767925,5.600800037384033
13,-0.32672863233869925,-1.502861614908433,0.378373810791094,80.68421853314047,1.0867999792099
14,-0.22645558722293735,-1.6485060823395878,0.29322423625499283,81.86542406529516,0.35350000858306885
15,-0.2507788600056509,-1.583545143880507,0.34202025306227335,83.0439938280968,4.42579984664917
16,-0.22416647788996721,-1.5558435541856914,0.07610194504992139,84.21974171171746,6.245699882507324
17,-0.24589754246009718,-1.6896273483678341,0.27395660709696873,85.39248205193658,3.8466999530792236
18,-0.10675281127647243,-1.6510310027606934,0.14364497560164283,86.56202965945964,5.737599849700928
19,-0.09895534381654186,-1.8567343951017794,0.0013364102263706565,87.72819984916156,1.6100000143051147
20,-0.20990447629265865,-1.620850817078378,-0.049324351073156185,88.89080846925071,5.309500217437744
21,-0.12349464383418803,-1.7297038408249288,-0.16048708577547083,90.04967193034861,4.5472002029418945
22,-0.10703758996476388,-1.6942181872599493,0.007717470877527895,91.20460723448076,2.2932000160217285
