snr_dB,tag,r2_csv_vs_psi12,pearson_csv_psi1,pearson_csv_psi2,pearson_inplane_psi1,pearson_inplane_psi2
1,min_bw0.005,0.5837590328900406,-0.3214650195010889,0.6892499540606619,0.01929582446784093,0.07980162631573974
1,min_bw0.01,0.5814285144448241,-0.3187065612490769,-0.6908912084842644,0.019433881027748335,-0.07980785345336891
1,min_bw0.025,0.5798131136762064,-0.31675657175146765,-0.6917414066718628,0.019543096307110062,-0.07979970234485595
1,min_bw0.05,0.5792400773890982,-0.3160596088285068,-0.692001845535242,0.01958369352388475,-0.07979509550373781
1,mean_bw0.005,0.49559375744262146,-0.23030879740389334,0.6556497352101053,0.031209524390565724,0.0741457537633626
1,mean_bw0.01,0.498749565337704,-0.24292472401621207,-0.6581767934560079,0.02934877344790139,-0.07502089061192956
1,mean_bw0.025,0.49442207332427657,-0.251642038064605,-0.6546668755463364,0.027961749198227307,-0.07496010744612071
1,mean_bw0.05,0.4893429097438843,-0.2546878783109383,0.6505879607415272,0.02745516091370285,0.07458839679171214
1,bispectrum_bw6.0e-09,0.3786045047322527,-0.155180032653135,-0.5801936914753469,0.03994339047829779,-0.06580729307386075
1,bispectrum_bw1.5e-08,0.41864018420803795,0.16191085427816643,-0.621045483801274,-0.038997376479245,-0.06655708338107556
1,bispectrum_bw3.0e-08,0.4317386475617446,-0.16369225098263265,0.6337935240771556,0.038697930778153006,0.06682801387688596
1,bispectrum_bw6.0e-08,0.4381551241011189,-0.1644788736461143,-0.6399290878001712,0.03855266934713365,-0.06696754586737005
1,euclidean_random_angle_bw0.01,0.0018494772226257394,-0.000665238022843072,0.04300116548569895,0.006172953459540198,-0.006375479016878806
